# particle_number, x, y, function_value
0, -1.14977394, -5.61696344, -14.48727204038916
1,  5.53004677, -4.07388705, -7.872422713146353
2,  0.12058589, -3.79448411, -5.5442793154899785
3, -9.24087053, -1.45259222, -69.94304579289283
4, -1.73904007,  3.48387657, -24.39673233104564
5,  2.7579039 , -4.46536874, -4.242754126388446
6, -4.11093417,  4.30168996, -42.00164296865081
7,  9.74300657, -3.43394204, -28.325999718787735
8,  6.99320935, -4.35536644, -14.027815832488555
9, 8.7476282 , 5.74068234, -49.62538091386954
10, -9.53200449, -4.91932162, -77.86165606529447
11, -3.6062333 ,  8.51894785, -73.83921823917258
12, 3.20504374, 4.60313231, -22.312846778297114
13, -6.70977821,  2.85554551, -54.636552448017355
14, -3.39169381,  6.90605083, -57.04823208825694
15, -9.17267035, -6.58350311, -80.01215578545066
16, -5.86042365, -2.19329599, -35.91029156924284
17,  5.42250262, -8.80261459, -29.012493412074104
18,  8.27767773, -3.1043015 , -18.33488958566065
19, -0.81956249,  2.05988363, -14.269025265204094
20, -6.20794669,  4.38578253, -58.58863732620121
21, 4.12245531, 0.69787856, -5.609605668109523
22, -7.42488013,  8.60811962, -105.38085029114656
23, -4.16357256,  2.1307745 , -31.24410968856532
24, -0.48469995, -1.59800264, -5.418756623910232
25,  7.22721788, -7.87937197, -29.96867757504369
26, 0.74220326, 9.90034572, -72.08794282336444
27, -0.80150582, -1.06478068, -6.717704530245582
28, -1.3633637 ,  5.28606246, -34.20147493351734
29,  1.37154718, -9.17420106, -28.012641951420555
30, 7.91942954, 5.56836049, -43.49225097015697
31, 2.13004863, 3.29169884, -14.464238939937394
32, -6.97781169, -5.2257738 , -51.36378143723179
33, -8.85020982,  9.95248444, -135.57326371433186
34, -8.02939799,  1.34673875, -61.62370584951021
35, -0.73454805,  4.78943858, -28.52438331033269
36, -4.1534345 ,  9.23897316, -85.09139540985372
37, -0.34775331, -6.92720846, -17.610200441224038
38,  7.39644276, -7.85843555, -30.657991483645766
39,  6.20179229, -5.23936823, -13.346261698809625
40,  3.90592575, -6.94667251, -14.641703859453807
41, -4.69055109, -0.41350883, -27.87577899174933
42, -3.05861884, -5.56162549, -23.071810841488578
43,  6.82316052, -4.70733419, -14.20435958339599
44, 6.20081777, 3.90081916, -24.591716052992183
45,  8.52875006, -1.87024021, -19.09229497881426
46, -9.17585678,  1.81875277, -75.99631542015528
47, 9.65881899, 3.33464057, -40.24401413648008
48, -2.89279211,  2.94991299, -27.220869909362328
49, 6.44047529, 4.89318454, -31.756289400438433
50, -6.78470705,  1.12074462, -48.58428004125255
51,  9.57195271, -7.80974325, -43.387728726914226
52, -5.71106454, -5.73496213, -41.98319622622345
53,  7.20926999, -3.00495669, -12.618015095729731
54, 2.63312332, 7.22312193, -42.54347636142032
55, -5.01889008,  0.7157681 , -32.606913922197634
56, 4.43960515, 8.05698873, -52.37078484806705
57, -1.10052739,  7.26438883, -49.39384857803708
58, 4.6147209 , 9.13736085, -64.06662801006752
59, -8.94193971,  1.152681  , -71.03736132014009
60, 0.25695759, 6.72821071, -40.657568180088354
61, -5.13551419, -3.17741697, -30.885374088047328
62, 2.75728807, 3.50874381, -15.579291923895408
63, 1.3046582 , 4.06868712, -19.445972506018826
64, 5.04445644, 0.62591936, -7.346202115095572
65,  0.94347337, -2.66107729, -2.419945434899138
66, -3.71485163,  0.13395157, -22.299608438481492
67, -2.92744009,  5.10943585, -40.21358695483763
68,  1.01363995, -2.89796963, -2.5215433303444983
69, -0.17350245, -3.3730489 , -5.57768274968212
70, -3.04155076, -0.72503865, -16.963598020653627
71, -8.48939453, -8.39003288, -82.36259799099867
72,  7.80475494, -6.61885124, -26.12292953196485
73,  2.12238522, -7.87924808, -18.86593880889671
74, -1.07638708, -1.69028855, -7.336200254414603
75, -0.70224501,  7.58567008, -51.035093553298516
76, 0.09730269, 3.11076829, -16.359315154582404
77, 5.20353137, 0.99695845, -8.76966360077441
78, -9.39932708,  6.26563868, -105.05475858452475
79,  2.9325465 , -8.03385392, -19.824568730389927
80, 8.76817972, 2.2213781 , -29.056855753646474
81, -8.48803403,  7.80698411, -108.4001547168002
82,  6.07924131, -4.65435918, -11.117669952655548
83, -0.25511266, -3.6411008 , -6.229977406670832
84, -5.88729979, -9.68633321, -66.40582984089097
85, 5.24506404, 4.96778486, -28.26986127815636
86, -0.46052926, -1.67640126, -5.326303466219375
87, -6.82318072,  2.58453587, -54.435318843328986
88, -2.27548649, -9.39084956, -40.37798767073703
89, -3.00681218,  5.4732092 , -43.263535637964914
90, 8.60900783, 4.94226348, -42.98721164219631
91, -0.29626422,  8.48748709, -58.77842933648775
92,  7.41290744, -0.42691249, -14.072261673278298
93, 5.52179473, 9.97774732, -76.0250009201848
94, -3.8970614 ,  4.90763895, -44.552109908961455
95, -0.10480252,  0.97739071, -8.451125252734135
96, -8.33566586,  3.29139851, -73.10007504751061
97, 7.98556033, 7.61623859, -61.24402309541224
98, -3.55377508, -5.33254147, -25.134205350189674
99, -6.23687904,  7.07032089, -79.3187946676524
0, -1.87517399, -6.46636187, -20.91584264321265
1,  5.11530902, -1.92690294, -4.339221042530951
2, -1.98049373, -3.59448411, -12.391988766704442
3, -8.51025379, -2.41758465, -61.66572972012341
4, -2.48469357,  4.78374189, -35.67872635209158
5,  0.50391618, -5.67192288, -10.024814946276631
6, -5.49385968,  3.76225117, -48.90037896050931
