swarm_number,particle_number,x,y,function_value
0,0,-4.54513137,-2.40854728,-64.4539695698233
0,1,-2.25495226, 4.6587997 ,-52.52212571883646
0,2,6.03261862,5.49260598,-86.759704206686
0,3,-4.50747226, 1.07346155,-42.50507394588391
0,4, 5.94261222,-0.75310023,-46.3300887359495
0,5,-4.01992258,-1.36691759,-34.809499991810966
0,6, 5.45053249,-2.02778159,-53.493017426134166
0,7,3.59582584,2.58767798,-56.388122573321475
0,8,-2.41504713,-2.14811934,-33.082759036154954
0,9,-1.63615562,-3.87389487,-37.22074801451192
0,10, 4.24712199,-3.66734043,-56.269903308498385
0,11,-5.84475389,-4.95306496,-63.51765527560133
0,12,-4.5861391 ,-6.07127802,-77.45006679028793
0,13,-4.09749649, 5.69216666,-64.5629477884032
0,14,-2.84952298,-1.67550609,-29.58507291760896
0,15,-1.8124304 ,-5.50959351,-59.799569209997074
0,16,-4.52974603,-1.96783995,-44.420306058330304
0,17,6.16200812,3.12042631,-55.18476830992588
0,18,-0.64792516,-4.67171069,-52.950575847118635
0,19,-4.2984268 ,-4.07776992,-49.27098422129297
0,20,2.60819875,4.27044432,-54.09719860371949
0,21,-6.11616691,-4.59689061,-79.28993170240827
0,22,-1.79889788,-2.9394646 ,-19.566919966423523
0,23, 6.24106364,-1.86141157,-55.4122084966445
0,24,-2.87786507, 3.32071113,-36.41020221425291
0,25, 1.75187039,-3.51389558,-45.26090496191594
0,26,4.58269308,2.99891768,-48.67511245011693
0,27,3.14533465,4.76876297,-45.345604393633224
0,28, 5.92668466,-2.10146529,-42.54841508837864
0,29, 5.3715754,-4.8071049,-75.36785638097896
0,30,4.97576239,5.1083769 ,-53.199725733056596
0,31,0.03737812,1.70075672,-16.213402731804727
0,32,-2.64637156, 4.01667719,-39.25257835226446
0,33, 2.10540627,-1.16287359,-12.69417498443853
0,34,-6.13370994,-3.40871609,-70.96781992084806
0,35,-2.58547205,-4.4398434 ,-64.28329768667214
0,36, 3.43583179,-4.05870566,-48.14881347025272
0,37,-4.27565077, 0.44265465,-49.43972035898189
0,38, 0.37429342,-2.45765654,-42.86794193581933
0,39,-5.16267317, 0.1560508 ,-35.895736502062064
0,40,4.72825236,5.3956868 ,-80.7599275413788
0,41,1.3219432 ,1.01211217,-17.168796830085668
0,42,-3.47634649,-0.59811754,-50.4916189143221
0,43,-5.01840968, 1.56034853,-46.97562934026786
0,44,-6.0266875 , 1.08995535,-39.20444070404534
0,45,-0.32844029,-1.19271238,-22.739602914086362
0,46,4.96162823,5.54133689,-75.27800318576345
0,47,5.73007015,1.38326521,-63.4246693005604
0,48,-1.33645376, 5.59903063,-66.429895932798
0,49, 5.13162301,-2.75692208,-46.7286054701876
0,50,-2.34286273,-0.67354602,-36.07304589941194
0,51,4.13223555,6.09697057,-59.30543559745635
0,52,-4.38490945,-6.08857511,-75.30461304292723
0,53,5.69987609,5.27618873,-85.06239936077509
0,54, 0.39869396,-5.73759667,-61.8991720526183
0,55,-2.44727678,-3.8429936 ,-44.697941432006004
0,56,-5.00782175,-1.56555459,-46.7049655594463
0,57,-0.16854913, 0.35250054,-21.259674635787956
0,58,-3.57623062, 6.27926388,-82.92163670078729
0,59,-5.72589883,-5.536073  ,-94.68680081007551
0,60, 1.93521098,-3.05111751,-14.382923395617798
0,61, 0.9826264 ,-5.37835155,-47.17013643934182
0,62,0.40537071,0.27408603,-30.030923706486632
0,63,3.89778665,2.44830938,-42.65651580446367
0,64,6.23829072,3.48518438,-80.28443261127359
0,65, 3.61407601,-3.4071425 ,-60.555262994521016
0,66,-1.92837858, 3.62795613,-34.81480336248175
0,67, 3.35200326,-3.27941519,-49.80741037998527
0,68, 4.05076544,-2.59342575,-41.96496219763303
0,69,-1.97031108,-0.91040768,-6.427474751879213
0,70,-4.05375499, 3.74528033,-41.321538459543746
0,71,-6.12655481, 2.27741801,-57.433869674893494
0,72,4.83845127,3.49595331,-60.35321346284373
0,73,-6.22397573,-2.67292343,-68.91028645901272
0,74,-1.11179289, 2.77142108,-19.942153240107714
0,75,-0.5712428 ,-2.92348989,-29.02126984924689
0,76,-5.4787692 ,-3.43027401,-80.75043725512468
0,77,-2.14192532,-4.70058825,-43.457804976524315
0,78,-4.9501726 ,-3.35782948,-52.53388637461826
0,79, 0.42509469,-5.93606081,-55.12647488459223
0,80, 0.06983191,-0.86700121,-4.996892943720779
0,81,-6.13724256, 3.63736017,-70.89052231110023
0,82,0.58335194,0.30816653,-32.668828333842455
0,83,-1.11858081, 1.13696684,-8.673562692207105
0,84,-1.29236188,-3.41888987,-44.71861662008453
0,85, 5.87001204,-2.30440831,-56.2736933279241
0,86,-0.13519071, 0.07118962,-4.403026268758181
0,87,-1.1813287 ,-0.89565232,-10.08901941926261
0,88,1.01323139,0.2932407 ,-13.83075756414403
0,89,-1.64691742,-1.84068494,-26.739337475052583
0,90,2.21430367,5.5733263 ,-62.69831150285283
0,91, 0.67136454,-4.82722453,-43.83106117366806
0,92,4.02636709,0.99351566,-17.343921874434542
0,93,-4.42853815,-0.21788861,-46.664249800289255
0,94,-2.69984397,-5.66985   ,-67.36164219010665
0,95,-3.60916065, 4.87905056,-57.321096717564984
0,96,-0.50226958, 3.59931836,-51.32162050030808
0,97,2.65634441,3.64307285,-52.10321015654809
0,98,-1.71948139,-2.70199805,-35.133753627384465
0,99,-0.56842006, 1.15334437,-25.03682971814428
0,0,-4.05348978,-2.36033703,-38.95198602296398
0,1,-1.71100045, 4.7000261 ,-50.532343204327795
0,2,4.88069597,5.16291884,-57.954844090760545
0,3,-4.23805107, 0.72400806,-39.36106818063883
0,4, 4.85724264,-0.09508401,-29.094210815077
0,5,-3.31170103,-0.53972032,-44.72925533939252
0,6, 5.15897656,-2.08710206,-37.01914411568988
0,7,3.2980393 ,2.84309336,-36.41166670908211
0,8,-1.50198877,-2.53122115,-48.470476317290064
0,9,-0.80070423,-2.72957563,-26.239270137391138
0,10, 4.03111183,-2.72985081,-35.15503689327568
0,11,-5.32296942,-3.79392514,-64.42873648141676
0,12,-3.93050226,-5.66973182,-63.36534056056178
0,13,-3.74403795, 5.38618926,-70.95369052558387
0,14,-2.76291006,-1.20010646,-25.179846054503734
0,15,-1.41177937,-4.74674667,-53.23177981784435
0,16,-4.47600636,-2.01174899,-43.995579756775214
0,17,6.08668417,2.78034007,-54.33014452580042
0,18,-0.45633132,-4.48342484,-59.88109278259556
0,19,-3.92293332,-3.89769439,-33.726889863054424
0,20,1.61874712,4.05737152,-37.06866296805373
0,21,-5.10294335,-4.06230684,-45.31884504485867
0,22,-1.5544403 ,-1.83525432,-30.100943093973196
0,23, 5.63177906,-1.1336783 ,-53.0905391402673
0,24,-3.10078151, 2.73261346,-30.11106910896266
0,25, 1.49097043,-3.19349178,-38.928905478739495
0,26,4.45706889,3.12046249,-51.97137709384528
0,27,2.70736826,4.63223651,-58.17653250250267
0,28, 5.02649383,-2.40180602,-49.32889369565292
0,29, 5.00652103,-3.96690726,-41.025390838348564
0,30,3.63183209,4.80630231,-59.58759725367406
0,31,-0.51073547, 2.08741368,-26.066171528220934
0,32,-1.64747913, 3.27833678,-41.23799072148395
0,33, 1.59716753,-0.37396321,-37.90913846182842
0,34,-5.45180295,-3.62408743,-79.51262122909132
0,35,-2.08154953,-3.14084052,-19.148519846388037
0,36, 3.1742782 ,-3.59016329,-46.82282461743498
0,37,-3.38350711, 0.32716339,-43.65450205599661
0,38,-0.32801172,-1.79627801,-25.174963580950045
0,39,-4.96538557,-0.20618284,-32.21467559282877
0,40,3.62632924,4.27351646,-59.89718379906778
0,41,0.63965426,1.16800463,-23.237334926825064
0,42,-2.54990427,-0.18050809,-31.818131998783414
0,43,-4.10369942, 2.12559406,-26.36250291782863
0,44,-5.89500705, 0.7430528 ,-47.83778070448139
0,45,-0.64811436,-1.0573522 ,-18.15361599130273
0,46,4.99916139,4.95019791,-49.98181232951259
0,47,4.30010048,0.4760638 ,-51.70079309271914
0,48,-0.86616772, 4.56954102,-44.02348774419691
0,49, 3.85017165,-2.90483035,-29.11047696375871
0,50,-2.05168681,-0.31503503,-18.804884404496015
0,51,4.16721355,5.37734962,-68.48602994436962
0,52,-3.88568866,-5.86919918,-55.20771503135972
0,53,5.07585897,4.90355358,-52.7043667413694
0,54,-0.1402382,-5.7043061,-49.02782618911626
0,55,-1.96302424,-2.71786687,-23.514223740472033
0,56,-5.03301076,-1.5974252 ,-46.28149346198341
0,57,-0.74820199,-0.08993783,-12.235493403989995
0,58,-2.47880108, 6.26900399,-76.54751071017593
0,59,-4.69323949,-4.89227707,-61.65657989355731
0,60, 0.98983672,-2.51992355,-27.271921506060252
0,61, 0.7209588 ,-5.21602077,-47.42246227709694
0,62,1.05311191,0.04476204,-2.055621126471813
0,63,2.94841229,1.49637446,-31.450411697843734
0,64,5.54678149,2.57744842,-75.82030486778055
0,65, 3.5863785 ,-3.35552731,-58.83989861798911
0,66,-1.95433733, 3.76835216,-27.278128736619195
