# particle_number, x, y, function_value
0, 7.08069521, 0.82212071, -15.115293412364657
1, -1.79447501, -0.43078152, -11.219497812211099
2,  1.95241173, -2.75388773, -1.433427116781591
3, -2.01184178,  6.49264206, -46.315517048820176
4,  4.46112967, -2.43257382, -2.9837707578059742
5, -9.36304526, -4.60813624, -74.95186093714659
6, 4.94874308, 8.23168146, -55.2425944283746
7, -4.37980741,  9.67907056, -91.6222510575434
8, -9.2740032 , -1.25621494, -70.43974376863929
9, -5.74505904, -9.57656237, -64.37424268256048
10, 0.72157945, 9.34339959, -65.70734556878698
11, 9.43063524, 2.30446376, -33.77454867874923
12, -2.7673859 , -4.61961527, -18.48976923617164
13, -4.0685427 ,  7.41886977, -65.91248201896724
14,  5.29530784, -0.5899557 , -5.683919513473937
15, 1.75103632, 7.18638174, -42.48057842370016
16, -8.05278868,  3.83984496, -73.07252304550828
17, -7.32438528, -0.44338116, -50.23908079623921
18, -3.15795345, -8.87553563, -41.254205843496045
19, -1.57937842, -4.52827703, -12.69352277580095
20, -9.84877562,  5.45370726, -104.20357342903519
21, -4.37679973, -8.00148827, -43.17820534262814
22, -7.160375  ,  9.27506444, -110.02139377641508
23, -4.91470418, -2.00258195, -28.413119094957167
24, -3.37649607,  4.2234496 , -36.933859080332056
25,  7.78479327, -6.96151575, -27.692929324961256
26, -7.82704599, -9.36209622, -82.084317961558
27, 6.26184579, 3.53867192, -22.784256541923764
28,  4.87672462, -1.6745447 , -3.7687635341930172
29,  1.68524106, -7.29830606, -15.821708741977547
30, -3.86939563, -5.95065438, -29.407439360768375
31, 1.24561217, 4.24547346, -20.589104976274633
32, 2.99213996, 4.5354596 , -21.747609562521156
33,  3.84080432, -6.26310166, -11.336144679259691
34, 4.12898397, 5.43227008, -29.12682519576174
35, -3.60443273,  1.14334734, -24.181969521721022
36, -7.16717374, -5.59500548, -54.472595340448244
37, -4.32856207, -6.45545804, -34.609667476536984
38, 2.90263955, 8.76729147, -57.89555147490877
39, -7.82263357,  5.99702596, -85.37882992422084
40, 3.20976144, 8.79529342, -58.36546982733693
41,  7.52384428, -9.13027894, -39.67691095534466
42, -0.92552277, -0.10342236, -8.399887261790099
43, -2.11673769,  9.56632879, -77.31441993385774
44, -9.53659412,  4.51789146, -93.95340298194097
45,  2.08259073, -7.18166627, -14.954053104529349
46, 9.71202666, 5.52477876, -54.48927258275198
47, 5.18158398, 0.13106731, -6.577002065850198
48, 3.92622659, 4.22861782, -20.71597786324892
49, 0.11920511, 1.69836192, -10.227134924907991
50, -4.71508545, -2.59609733, -27.18994328195848
51,  8.8306266, -4.3536736, -23.967612150507346
52, -5.59174225,  8.64171713, -89.22098489824565
53,  2.5736756 , -5.95081554, -9.126205865526517
54,  3.64768372, -3.94334365, -3.665154126054216
55,  1.7651147 , -1.75923788, -1.1988737233392905
56, -4.25847296,  5.42185187, -50.56217430836529
57, -4.54345846, -9.08889512, -51.56419859442111
58,  3.48818406, -8.57114426, -23.65927530429818
