swarm_number,particle_number,x,y,function_value
0,0,8.02191693,8.83195143,-73.75211262950428
0,1,1.40216244,6.86670819,-39.949148450652075
0,2,-1.00633017, 1.19393365,-11.85232690136143
0,3,2.69763352,0.07824189,-2.895188516850788
0,4,-4.36891314,-9.02613386,-49.90081428036678
0,5, 8.02403734,-7.79945019,-33.578189039155774
0,6,-5.41097623,-1.26430064,-32.412767819730824
0,7, 1.61206316,-0.77657323,-1.9441982964638838
0,8,2.37710872,0.62285698,-4.1088933357996265
0,9,-8.67676548,-2.14043779,-63.407887016065324
1,0,5.68430013,3.6624032 ,-21.45898684685024
1,1,-8.93579335, 4.45614305,-86.50790057065278
1,2,-0.40105116,-1.71629065,-5.143861998982878
1,3,5.11191162,8.42264407,-57.608469990265434
1,4,0.03336244,6.9682637 ,-43.2841395079933
1,5, 3.40109207,-9.78997196,-32.45075071901986
1,6,-2.54204837, 9.98821935,-84.29494414521407
1,7,5.72479627,5.96984764,-37.08584498105241
1,8, 2.16260249,-7.38851544,-16.03775792431787
1,9,3.4734254,8.8039683,-58.68018577169854
2,0, 7.306801  ,-7.22583705,-26.65387658777818
2,1,-6.62507398, 9.55375159,-108.14663891373685
2,2,-6.37508256, 2.62833016,-50.555370736884115
2,3,4.84570359,1.45923412,-9.31232811517712
2,4, 1.97454286,-8.22560183,-21.06361039917361
2,5,-7.10179011,-8.33912465,-67.74728826914567
2,6,-7.15913507,-9.04395029,-73.0863965607933
2,7,-8.65015765, 3.06608612,-75.41295200458777
2,8,-6.10677351,-8.6824519 ,-60.958040578717416
2,9,3.40160849,3.12233699,-13.93732186326036
3,0,-9.11662597,-8.18251375,-88.12692750076289
3,1,-1.1151016 , 8.52183783,-61.760770209201866
3,2, 4.75225696,-0.00931101,-5.242621670191488
3,3,4.31877905,9.66847667,-69.4877433455712
3,4,-0.72175789,-3.05841586,-6.77976414938562
3,5,-8.34735008, 8.23406744,-111.10110185193945
3,6, 8.95155083,-1.74438918,-21.74229993678288
3,7,-9.89403839, 8.01218123,-126.85070069507034
3,8,1.21804201,4.54736037,-22.524874537279885
3,9,9.76271073,5.06199166,-51.527086048511755
4,0, 9.80229387,-0.13741636,-29.134036959375948
4,1,6.77602829,9.858936  ,-79.19743543889028
4,2,-3.34447675, 8.81398952,-75.3926784947994
4,3,-0.80171247, 1.26869204,-11.389895766872364
4,4,-5.66155521,-5.92675096,-42.3317918603908
4,5,-7.89379732, 5.8480621 ,-84.9506830245757
4,6,-3.62553879, 8.21123138,-70.79855125197622
4,7,-5.75545389,-5.03773961,-39.917902930290104
4,8,-6.39623872,-3.99918234,-42.693753431147506
4,9, 1.77378531,-3.74422529,-2.883215879277178
0,0, 2.43396772,-1.92070978,-0.9213331119027176
0,1, 2.42928523,-1.93194166,-0.9219489574605622
0,2, 2.43855027,-1.93375699,-0.9213963351933379
0,3, 2.43210297,-1.98065128,-0.9244958512764895
0,4, 2.42811941,-1.94339329,-0.9224634319702798
0,5, 2.45712845,-1.98838698,-0.923763647237522
0,6, 2.43214254,-1.93831607,-0.9219749108760428
0,7, 2.43701869,-1.96870922,-0.9232823339884649
0,8, 2.43815193,-1.97088345,-0.923363356681203
0,9, 2.45678656,-1.97485145,-0.9226736035826126
1,0, 2.51072537,-1.90795129,-0.9190276614165152
1,1, 2.45995016,-1.90141447,-0.9197415282977021
1,2, 2.51741268,-1.95648293,-0.920685294512046
1,3, 2.50244259,-1.89728037,-0.9189452145185261
1,4, 2.48351864,-1.90930925,-0.9191176818877318
1,5, 2.52376623,-1.95665674,-0.9208259432997742
1,6, 2.4791329 ,-1.87537682,-0.9194594017156489
1,7, 2.52116312,-1.91961789,-0.9193549028273202
1,8, 2.49420226,-1.92514688,-0.919271522786274
1,9, 2.52341497,-1.97450098,-0.9219878615129594
2,0, 2.47839753,-1.89051877,-0.9192168133294532
2,1, 2.3597781,-1.8028804,-0.9334857325345846
2,2, 2.42639067,-1.83938882,-0.923484557542325
2,3, 2.43641841,-1.81104721,-0.924916141665416
2,4, 2.43949833,-1.82172091,-0.9238325675567501
2,5, 2.40600641,-1.84430043,-0.92490715159246
2,6, 2.41537062,-1.84013307,-0.9243116233937257
2,7, 2.39271019,-1.81274074,-0.9285011741299009
